reference,generated,num_chunks,chunk_summaries
"– Researchers say they've found another possible way to detect Alzheimer's, this time through a blood test that looks for antibodies. Though still under development, a diagnostic kit could be available within the year, reports Reuters. The catch: While scientists are getting better at detecting Alzheimer's with such discoveries, they still can't cure the disease. ""It's unclear whether people would want to know a couple of years ahead of time they are going to get Alzheimer's if they can't do anything about it,"" says a scientist with the Scripps Research Institute. ""But I can say with some certainty that we will never get a good therapy for Alzheimer's without early diagnosis."" More details here on the science involved in the blood test, which could theoretically work on other diseases such as cancer.",  ,3,"['', '', '']"
"– The Catholic Church has hired two private investigators to track down a former Dallas priest who disappeared months before sexual abuse allegations against him surfaced. Pastor at St. Cecilia Catholic Church in Oak Cliff for 27 years, Rev. Edmundo Paredes stands accused of molesting three boys in their midteens between 10 and 20 years ago, though the exact period is being withheld to protect the victims’ identities, reports the Dallas Morning News. Paredes, 69, was removed from St. Cecilia in June 2017 after allegedly stealing $60,000 to $80,000 in cash. This February, church officials also learned of sexual abuse allegations, which were reported to police and found to be credible, Bishop Edward Burns told parishioners on Sunday. ""I recognize this diocese cannot cover its ears, its eyes, its mouth. We need to look at this head on,"" Burns said. Still, the Survivors Network of Those Abused by Priests questions the delay in releasing the information. Officials initially said the allegations weren’t disclosed earlier because of a police investigation. Late Monday, however, the Diocese of Dallas said a Pennsylvania grand jury report describing more than 1,000 victims of abuse by clergy since the 1940s had motivated the disclosure after victims objected to an announcement in March, per Fox 4. Officials suspect Paredes is in his native Philippines, which he visited annually, per WFAA. Per the Morning News, authorities there say they are unaware of his location.",   ,4,"['', '', '', '']"
"– Christopher Kennedy Lawford, an actor, author, and nephew of John F. Kennedy, died of a heart attack Tuesday. The 63-year-old, who became an advocate for sobriety after his own substance abuse issues, was in Vancouver, Canada. He was there working to open a recovery center, his cousin, former US Rep. Patrick J. Kennedy, tells the AP, adding Lawford's hot yoga habit ""must have been too much for him at that point."" TMZ reports Lawford was at a yoga studio at the time of the heart attack. In addition to appearing on General Hospital, All My Children, and Frasier, per People, the oldest child of Patricia Kennedy also wrote several books, including 2005's Symptoms of Withdrawal. The AP reports that in that memoir, he wrote of what preceded his getting sober at age 30: mugging women for money, begging for change in Grand Central Station, and two arrests for possession. ""There are many days when I wish I could take back and use my youth more appropriately,"" he said in 2005. ""But all of that got me here. I can't ask for some of my life to be changed and still extract the understanding and the life that I have today.""",  ,3,"['', '', '']"
"– The fallout from Anthony Kennedy's bombshell decision to retire from the Supreme Court continues to resonate, with President Trump saying he's ""honored"" that Kennedy has given him an opportunity to pick a successor. Of course, getting him confirmed is another issue, and the Hill digs into the political logistics in the Senate. Republicans have the numbers, but two wild cards are Sens. Susan Collins of Maine and Lisa Murkowski of Alaska, both of whom support abortion rights and will likely have a big say in who comes next. A remedy: At Vox, Ezra Klein writes that both parties are guilty of turning the nomination process into an ""insane"" one, given the stakes. At this point, if one party held the White House and the other the Senate, it's unlikely any nominee would be confirmed. His solution? Reduce the stakes by limiting justices to 10-year terms. A big percentage: The Washington Post picks out five times Kennedy cast the deciding vote on big issues, on everything from backing abortion rights to supporting gay rights to curtailing the death penalty. The story notes that of the 276 majority opinions written by Kennedy, 92 came in 5-4 decisions.",    ,5,"['', '', '', '', '']"
"– In what the UK's Civil Aviation Authority says would be ""a totally unacceptable"" first, a British Airways plane landing at Heathrow appears to have been hit by a drone on Sunday, the BBC reports. The Airbus A320 coming into London from Geneva had 132 passengers and five crew members aboard, a BA spokesman tells CNN; the incident was reported after the BA pilot touched down. ""Our aircraft landed safely, was fully examined by our engineers and it was cleared to operate its next flight,"" the rep says. No arrests have been made (it's unclear whose drone it may have been), and the aviation security arm of the Metropolitan Police is looking into the matter. Police note that flying a drone too close to a plane is illegal, NBC News reports, with punishment including up to five years in prison. Specifically, drones over 15 pounds can't fly higher than 400 feet and aren't permitted to fly ""beyond the direct unaided line of sight"" of its operator or near crowds or buildings. Not that the incident came as a total surprise: The head of the International Air Transport Association had previously noted the ""real and growing threat"" of a drone-plane hit, while a British Airline Pilots Association rep says it was ""only a matter of time."" A recent study by Bard College's Center for the Study of the Drone underscores the danger in US airspace, with 327 ""close encounters"" of drones flying within 500 feet of manned aircraft between December 2013 and September 2015, and at least 28 pilots ""[maneuvering] to avoid a collision with a drone."" Frighteningly, aviation experts say they don't really know what would happen if a drone got sucked into a plane's engine, a Civil Aviation Authority rep tells NBC. (A drone recently came within 200 feet of a plane at LAX.)",     ,6,"['', '', '', '', '', '']"
"– More than 500 migrants have been detained for illegally entering Hungary or breaching a border fence, with nearly 50 criminal cases on the books since new laws took effect yesterday, the New York Times reports, while the BBC notes that Hungarian riot police today fired tear gas at migrants trying to break through the border with Serbia. And as restrictions tighten, migrants are seeking other ways into Western Europe through Slovenia and Croatia, as well as through Hungary's border with Romania. Issues remain: Hungary’s poorer neighbors may be ill-equipped to handle the flow, and there are areas peppered with land mines, remnants of the Balkan Wars. While solutions are sought, thousands spent last night in a Vienna train station, per the Times, while at least 22 migrants drowned yesterday in the Aegean Sea, the Post notes—a sad repeat of a similar incident a couple of days earlier. Leaders of neighboring nations are scrambling to come up with their own plans for dealing with the influx, which is no small task: The EU border agency notes a head count of 500,000 migrants at EU nations' entry points so far in 2015; last year that number was around 280,000, the BBC reports. Many are refugees fleeing high-conflict areas such as Syria and Iraq, per the Washington Post, which adds there's a noted ""absence of a coordinated policy for the unprecedented influx."" ""Barbed wire in Europe in the 21st century is not an answer, it's a threat,"" Croatia's PM says, per the Post, adding that Croatia would ""accept and direct"" migrants through his country. An Egyptian billionaire who says he wants ""to clear my conscience as a human being"" has come up with an even more creative stopgap for the Syrian refugees involved: hosting them on two available Greek islands, using a joint-stock company to accept donations, Bloomberg reports. (The US is trying to help out.)",       ,8,"['', '', '', '', '', '', '', '']"
"– The gunman who was killed—possibly by his own hand—at a Houston airport yesterday left a number of chilling posts on Facebook the day before, prompting CBS News to suggest he was planning a mass shooting. But a note he was carrying, discovered after he was shot, said he'd opted to drop a larger plot and kill himself, KHOU reports; the note cited a ""monster within."" Suspect Carnell Moore, 29, entered Bush Intercontinental Airport's Terminal B yesterday, where he sat down and shot two rounds at the ceiling with a pistol, CBS reports. That's when a Homeland Security special agent told him to drop his gun. Moore didn't, says a Homeland Security spokesman, per the Houston Chronicle. He turned to face the agent, who shot Moore just as he was shooting himself, CBS notes. A suitcase next to him held a loaded AR15 assault rifle; his car contained more ammunition. Among his earlier Facebook posts was one on Wednesday: ""I recently had the chance of staring death in the face, and she was beautiful."" Later that night, he wrote, ""This Life Will Crash Tomorrow!""",   ,4,"['', '', '', '']"
"– Snoop Dogg got a star on the Hollywood Walk of Fame Monday, and the final person the rapper thanked in his speech wasn't God, his wife, or his parents—it was himself. ""Last but not least, I want to thank me for believing in me. I want to thank me for doing all this hard work, I want to thank me for having no days off, I want to thank me for never quitting, I want to thank me for always being a giver and trying to give more than I receive,"" the 47-year-old said, per People. ""I want to thank me for trying to do more [right] than wrong, I want to thank me for just being me at all times. Snoop Dogg, you a bad motherf-----."" Of course, he did also thank all of those aforementioned people and entities, plus colleagues including Dr. Dre and Quincy Jones, KTLA reports. And on Instagram, he thanked his fans. ""Blessed,"" he captioned a photo of the star on Twitter. NBC Los Angeles notes the tribute came four days before the 25th anniversary of his debut album, Doggystyle. Snoop, born Calvin Broadus, is ""the Susan Lucci of the Grammys,"" per the AV Club, having racked up 17 nominations since then with no wins. ""Snoop Dogg is one of those people who can do anything. He raps, he acts, he hosts a television show, he cooks, and helps community kids with his philanthropic work,"" the producer of the Hollywood Walk of Fame said in a news release. ""He is a man of the ages and we welcome him to our Hollywood Walk of Fame."" (He's also into weed.)","– President Trump's decision to recognize Jerusalem as Israel's capital has set off a wave of criticism on the left and right. Here's a look at some of the most prominent critics: Rush Limbaugh, Fox News: ""The president of the United States has just declared war on Israel. This is a war we should be fighting all over again."" Newt Gingrich, former House speaker: ""Trump's declaration of Jerusalem as the capital of Israel is a declaration of war on every Jewish person in this country."" Marco Rubio, Florida senator: ""It's time to end the war in Israel. The only reason this is happening is because the radical Islamic terrorists are operating in Israel."" Al Gore, former US secretary of state: ""I don't know if this is the greatest threat to American security since 9/11, but it is."" Michael Moore, documentary filmmaker: ""This is a direct attack on America's core values. The war in Syria is an attack on all of us."" Click for his full column.    ",5,"['– President Trump\'s decision to recognize Jerusalem as Israel\'s capital has set off a wave of criticism on the left and right. Here\'s a look at some of the most prominent critics: Rush Limbaugh, Fox News: ""The president of the United States has just declared war on Israel. This is a war we should be fighting all over again."" Newt Gingrich, former House speaker: ""Trump\'s declaration of Jerusalem as the capital of Israel is a declaration of war on every Jewish person in this country."" Marco Rubio, Florida senator: ""It\'s time to end the war in Israel. The only reason this is happening is because the radical Islamic terrorists are operating in Israel."" Al Gore, former US secretary of state: ""I don\'t know if this is the greatest threat to American security since 9/11, but it is."" Michael Moore, documentary filmmaker: ""This is a direct attack on America\'s core values. The war in Syria is an attack on all of us."" Click for his full column.', '', '', '', '']"
"– There's not fact checking, and then there's ... not even using your brain. A newscast on Bay Area Fox affiliate KTVU apparently fell for a (racist and offensive) joke, incorrectly reporting that the pilots of the plane that crashed at San Francisco airport were named ""Sum Ting Wong,"" ""Ho Lee Fuk,"" ""Bang Ding Ow,"" and ""Wi Tu Lo,"" SF Weekly reports. The network later apologized, but said an NTSB official in Washington had ""confirmed"" them. It wasn't exactly an official. Per the NTSB: ""Earlier today, in response to an inquiry from a media outlet, a summer intern acted outside the scope of his authority when he erroneously confirmed the names of the flight crew on the aircraft."" The kicker, as Mediabistro notes, is that KTVU had just been boasting about its ""100% accurate"" coverage of the disaster earlier this week.",  ,3,"['', '', '']"
"– She met four teen girls through social media and acquaintances and quickly tried to befriend them. But it wasn't their friendship Jelinajane Bedrijo Almario was after, say police in Hanford, Calif. Over the next few weeks in 2016, Almario, then just 16, pimped the girls, aged 14 and 15, by posting their photos on prostitution websites and driving them to meet clients at motels in Tulare County, Detective Richard Pontecorvo tells the Fresno Bee. Thankfully, ""we caught her case very early,"" he adds. Almario was arrested in May 2016 and charged as an adult with human trafficking and making terrorist threats. On Monday, two days after her 18th birthday, she was sentenced to 13 years in prison. ""It was a huge eye-opener for us,"" Pontecorvo says of the case, heard in Kings County Superior Court. ""We were able to get these girls back home and get them the help they needed … but these pimps are ruining these kids' lives at an early age."" Pimps like Almario, he adds, per UPI, ""are great at locating kids with low self-esteem and trying to be their friend, and then it obviously changes."" For example, Almario once sent threatening emails to the mother of one of her victims who was simply looking for her daughter, reports the AP. Pontecorvo explains the girls Almario targeted ""would run away for weekends or work a couple of nights."" (A teen says she was forced to have sex with 1,000 men at this hotel.)",  ,3,"['', '', '']"
